GeneId	TranscriptId	GeneName
ENSG00000116731	ENST00000235372	PRDM2
ENSG00000185477	ENST00000609438	GPRIN3
ENSG00000253313	ENST00000523677	C1orf210
ENSG00000227715	ENST00000455882	HLA-A
ENSG00000161011	ENST00000389805	SQSTM1
ENSG00000144744	ENST00000361055	UBA3
ENSG00000182533	ENST00000343849	CAV3
ENSG00000283199	ENST00000636427	C13orf46
ENSG00000187857	ENST00000641576	OR6C75
ENSG00000205329	ENST00000641364	OR6C3
ENSG00000084636	ENST00000373672	COL16A1
ENSG00000163159	ENST00000354473	VPS72
ENSG00000080293	ENST00000019103	SCTR
ENSG00000115053	ENST00000322723	NCL
ENSG00000163755	ENST00000296051	HPS3
ENSG00000171121	ENST00000314235	KCNMB3
ENSG00000206403	ENST00000446529	ABHD16A
ENSG00000158258	ENST00000458420	CLSTN2
ENSG00000170605	ENST00000305377	OR9K2
ENSG00000162494	ENST00000376085	LRRC38
ENSG00000138688	ENST00000264501	KIAA1109
ENSG00000137727	ENST00000260283	ARHGAP20
ENSG00000128335	ENST00000249066	APOL2
ENSG00000010818	ENST00000367604	HIVEP2
ENSG00000204479	ENST00000376098	PRAMEF17
ENSG00000198948	ENST00000361618	MFAP3L
ENSG00000177728	ENST00000375248	TMEM94
ENSG00000135269	ENST00000358204	TES
ENSG00000169067	ENST00000423391	ACTBL2
ENSG00000196663	ENST00000359520	TECPR2
ENSG00000163166	ENST00000295321	IWS1
ENSG00000266472	ENST00000581066	MRPS21
ENSG00000163872	ENST00000305135	YEATS2
ENSG00000153002	ENST00000491148	CPB1
ENSG00000054983	ENST00000261304	GALC
ENSG00000161904	ENST00000293760	LEMD2
ENSG00000140538	ENST00000360948	NTRK3
ENSG00000100100	ENST00000215912	PIK3IP1
ENSG00000179388	ENST00000317216	EGR3
ENSG00000137692	ENST00000260247	DCUN1D5
ENSG00000117360	ENST00000324862	PRPF3
ENSG00000100105	ENST00000266269	PATZ1
ENSG00000232357	ENST00000422433	HSD17B8
ENSG00000141627	ENST00000269445	DYM
ENSG00000120889	ENST00000276431	TNFRSF10B
ENSG00000136457	ENST00000508540	CHAD
ENSG00000156381	ENST00000286918	ANKRD9
ENSG00000204852	ENST00000397659	TCTN1
ENSG00000089116	ENST00000261731	LHX5
ENSG00000167107	ENST00000427954	ACSF2
ENSG00000203995	ENST00000371528	ZYG11A
ENSG00000100387	ENST00000216225	RBX1
ENSG00000262484	ENST00000571838	CCER2
ENSG00000170374	ENST00000536324	SP7
ENSG00000131050	ENST00000253362	BPIFA2
ENSG00000198429	ENST00000340180	ZNF69
ENSG00000097046	ENST00000428239	CDC7
ENSG00000231115	ENST00000427374	RING1
ENSG00000235754	ENST00000432598	APOM
ENSG00000171566	ENST00000499023	PLRG1
ENSG00000126368	ENST00000246672	NR1D1
ENSG00000158457	ENST00000486685	TSPAN33
ENSG00000174718	ENST00000312561	KIAA1551
ENSG00000110717	ENST00000313468	NDUFS8
ENSG00000196757	ENST00000622593	ZNF700
ENSG00000176692	ENST00000320354	FOXC2
ENSG00000163125	ENST00000369068	RPRD2
ENSG00000126351	ENST00000264637	THRA
ENSG00000176678	ENST00000320241	FOXL1
ENSG00000197054	ENST00000343949	ZNF763
ENSG00000145386	ENST00000274026	CCNA2
ENSG00000111144	ENST00000228740	LTA4H
ENSG00000176092	ENST00000475866	CRYBG2
ENSG00000146433	ENST00000367090	TMEM181
ENSG00000111110	ENST00000228705	PPM1H
ENSG00000123737	ENST00000379663	EXOSC9
ENSG00000134020	ENST00000256404	PEBP4
ENSG00000060688	ENST00000263694	SNRNP40
ENSG00000121690	ENST00000241051	DEPDC7
ENSG00000100393	ENST00000263253	EP300
ENSG00000008853	ENST00000519685	RHOBTB2
ENSG00000130560	ENST00000371756	UBAC1
ENSG00000135931	ENST00000611582	ARMC9
ENSG00000180834	ENST00000318631	MAP6D1
ENSG00000166823	ENST00000300057	MESP1
ENSG00000185591	ENST00000327443	SP1
ENSG00000185163	ENST00000397333	DDX51
ENSG00000125733	ENST00000313244	TRIP10
ENSG00000146425	ENST00000367089	DYNLT1
ENSG00000180938	ENST00000319286	ZNF572
ENSG00000175193	ENST00000317096	PARL
ENSG00000177303	ENST00000321617	CASKIN2
ENSG00000143374	ENST00000369064	TARS2
ENSG00000138641	ENST00000402738	HERC3
ENSG00000203780	ENST00000368693	FANK1
ENSG00000008838	ENST00000501516	MED24
ENSG00000142973	ENST00000371923	CYP4B1
ENSG00000090621	ENST00000372858	PABPC4
ENSG00000226742	ENST00000451882	HSBP1L1
ENSG00000116726	ENST00000357726	PRAMEF12
ENSG00000026652	ENST00000320285	AGPAT4
ENSG00000141759	ENST00000269601	TXNL4A
ENSG00000116721	ENST00000332296	PRAMEF1
ENSG00000186951	ENST00000407236	PPARA
ENSG00000103264	ENST00000311635	FBXO31
ENSG00000260097	ENST00000563237	SPDYE6
ENSG00000122986	ENST00000356742	HVCN1
ENSG00000239810	ENST00000619922	PRAMEF11
ENSG00000255072	ENST00000527353	PIGY
ENSG00000145337	ENST00000273968	PYURF
ENSG00000226225	ENST00000434122	RPS18
ENSG00000137714	ENST00000260270	FDX1
ENSG00000163349	ENST00000369558	HIPK1
ENSG00000177432	ENST00000323061	NAP1L5
ENSG00000188095	ENST00000341735	MESP2
ENSG00000260456	ENST00000567970	C16orf95
ENSG00000179172	ENST00000317869	HNRNPCL1
ENSG00000166596	ENST00000352665	CFAP52
ENSG00000187231	ENST00000428443	SESTD1
ENSG00000128602	ENST00000249373	SMO
ENSG00000185100	ENST00000332972	ADSSL1
ENSG00000120952	ENST00000240189	PRAMEF2
ENSG00000121310	ENST00000371522	ECHDC2
ENSG00000067177	ENST00000373542	PHKA1
ENSG00000069702	ENST00000212355	TGFBR3
ENSG00000065978	ENST00000321358	YBX1
ENSG00000188883	ENST00000340940	KLRG2
ENSG00000140941	ENST00000268607	MAP1LC3B
ENSG00000188338	ENST00000614032	SLC38A3
ENSG00000224455	ENST00000443860	VPS52
ENSG00000166825	ENST00000300060	ANPEP
ENSG00000128626	ENST00000407800	MRPS12
ENSG00000119688	ENST00000356924	ABCD4
ENSG00000269190	ENST00000292852	FBXO17
ENSG00000104870	ENST00000221466	FCGRT
ENSG00000154914	ENST00000285199	USP43
ENSG00000186628	ENST00000334574	FSD2
ENSG00000008283	ENST00000582997	CYB561
ENSG00000104835	ENST00000600042	SARS2
ENSG00000144476	ENST00000272928	ACKR3
ENSG00000236279	ENST00000422142	CLEC2L
ENSG00000186298	ENST00000340766	PPP1CC
ENSG00000169403	ENST00000373857	PTAFR
ENSG00000122965	ENST00000545145	RBM19
ENSG00000166947	ENST00000568508	EPB42
ENSG00000144810	ENST00000261037	COL8A1
ENSG00000232423	ENST00000376189	PRAMEF6
ENSG00000126698	ENST00000263697	DNAJC8
ENSG00000204510	ENST00000616979	PRAMEF7
ENSG00000089902	ENST00000262241	RCOR1
ENSG00000187545	ENST00000235347	PRAMEF10
ENSG00000130812	ENST00000253109	ANGPTL6
ENSG00000243073	ENST00000235349	PRAMEF4
ENSG00000130770	ENST00000335514	ATP5IF1
ENSG00000206465	ENST00000383539	SFTA2
ENSG00000130813	ENST00000253110	C19orf66
ENSG00000228454	ENST00000375177	C4B
ENSG00000205643	ENST00000314567	CDPF1
ENSG00000011478	ENST00000012049	QPCTL
ENSG00000121766	ENST00000615916	ZCCHC17
ENSG00000225748	ENST00000432252	PRRC2A
ENSG00000137842	ENST00000260403	TMEM62
ENSG00000125743	ENST00000342669	SNRPD2
ENSG00000135409	ENST00000257863	AMHR2
ENSG00000205593	ENST00000413817	DENND6B
ENSG00000066084	ENST00000301180	DIP2B
ENSG00000187764	ENST00000450295	SEMA4D
ENSG00000164674	ENST00000611299	SYTL3
ENSG00000106013	ENST00000265224	ANKRD7
ENSG00000163754	ENST00000345003	GYG1
ENSG00000150403	ENST00000434316	TMCO3
ENSG00000149256	ENST00000278550	TENM4
ENSG00000159189	ENST00000374639	C1QC
ENSG00000072041	ENST00000266682	SLC6A15
ENSG00000166946	ENST00000300213	CCNDBP1
ENSG00000188011	ENST00000343216	RTP5
ENSG00000177565	ENST00000430069	TBL1XR1
ENSG00000184967	ENST00000330579	NOC4L
ENSG00000122786	ENST00000361675	CALD1
ENSG00000182307	ENST00000331434	C8orf33
ENSG00000117298	ENST00000374893	ECE1
ENSG00000173369	ENST00000314933	C1QB
ENSG00000104549	ENST00000265896	SQLE
ENSG00000143369	ENST00000369049	ECM1
ENSG00000229284	ENST00000547331	DPCR1
ENSG00000151746	ENST00000281474	BICD1
ENSG00000131059	ENST00000375454	BPIFA3
ENSG00000089225	ENST00000310346	TBX5
ENSG00000176083	ENST00000436292	ZNF683
ENSG00000184408	ENST00000331113	KCND2
ENSG00000183770	ENST00000330315	FOXL2
ENSG00000174840	ENST00000311180	PDE12
ENSG00000114473	ENST00000265239	IQCG
ENSG00000198612	ENST00000354371	COPS8
ENSG00000206262	ENST00000383165	FOXL2NB
ENSG00000143933	ENST00000272298	CALM2
ENSG00000125863	ENST00000347364	MKKS
ENSG00000148411	ENST00000277554	NACC2
ENSG00000171564	ENST00000302068	FGB
ENSG00000114626	ENST00000232744	ABTB1
ENSG00000232641	ENST00000450634	MOG
ENSG00000005020	ENST00000345317	SKAP2
ENSG00000130943	ENST00000253255	PKDREJ
ENSG00000198951	ENST00000396398	NAGA
ENSG00000238227	ENST00000418388	TMEM250
ENSG00000206461	ENST00000383532	C6orf15
ENSG00000123374	ENST00000266970	CDK2
ENSG00000112414	ENST00000367609	ADGRG6
ENSG00000206460	ENST00000383531	CDSN
ENSG00000206459	ENST00000383530	PSORS1C2
ENSG00000135111	ENST00000257566	TBX3
ENSG00000206458	ENST00000639585	PSORS1C1
ENSG00000173175	ENST00000462833	ADCY5
ENSG00000078674	ENST00000325083	PCM1
ENSG00000156232	ENST00000286760	WHAMM
ENSG00000137601	ENST00000507142	NEK1
ENSG00000131914	ENST00000326279	LIN28A
ENSG00000183066	ENST00000328823	WBP2NL
ENSG00000176102	ENST00000323959	CSTF3
ENSG00000239605	ENST00000445927	STPG4
ENSG00000182899	ENST00000464167	RPL35A
ENSG00000110721	ENST00000265689	CHKA
ENSG00000163064	ENST00000295206	EN1
ENSG00000005175	ENST00000005386	RPAP3
ENSG00000164007	ENST00000296387	CLDN19
ENSG00000184374	ENST00000332843	COLEC10
ENSG00000233904	ENST00000415649	HLA-E
ENSG00000068724	ENST00000394850	TTC7A
ENSG00000131323	ENST00000560371	TRAF3
ENSG00000143384	ENST00000369026	MCL1
ENSG00000197912	ENST00000645818	SPG7
ENSG00000176148	ENST00000334274	TCP11L1
ENSG00000206510	ENST00000548769	ZFP57
ENSG00000197385	ENST00000360311	ZNF860
ENSG00000117385	ENST00000236040	P3H1
ENSG00000175110	ENST00000495075	MRPS22
ENSG00000143382	ENST00000369039	ADAMTSL4
ENSG00000135535	ENST00000310786	CD164
ENSG00000114770	ENST00000334444	ABCC5
ENSG00000110719	ENST00000265686	TCIRG1
ENSG00000166148	ENST00000299178	AVPR1A
ENSG00000144645	ENST00000396556	OSBPL10
ENSG00000092820	ENST00000367075	EZR
ENSG00000206527	ENST00000383657	HACD2
ENSG00000173093	ENST00000308208	CCDC63
ENSG00000185664	ENST00000449260	PMEL
ENSG00000128563	ENST00000496391	PRKRIP1
ENSG00000184814	ENST00000329447	PRR23B
ENSG00000133216	ENST00000400191	EPHB2
ENSG00000233701	ENST00000413199	PRR23C
ENSG00000206260	ENST00000383163	PRR23A
ENSG00000257446	ENST00000547628	ZNF878
ENSG00000182870	ENST00000328957	GALNT9
ENSG00000184432	ENST00000333188	COPB2
ENSG00000197647	ENST00000344980	ZNF433
ENSG00000107187	ENST00000371746	LHX3
ENSG00000074416	ENST00000265052	MGLL
ENSG00000274764	ENST00000436041	PRAMEF27
ENSG00000075234	ENST00000381031	TTC38
ENSG00000019169	ENST00000327097	MARCO
ENSG00000277058	ENST00000617807	HNRNPCL3
ENSG00000229571	ENST00000614839	PRAMEF25
ENSG00000143420	ENST00000339643	ENSA
ENSG00000065534	ENST00000360304	MYLK
ENSG00000273608	ENST00000615049	SRCIN1
ENSG00000115694	ENST00000316586	STK25
ENSG00000112787	ENST00000434748	FBRSL1
ENSG00000241878	ENST00000382151	PISD
ENSG00000173715	ENST00000360962	C11orf80
ENSG00000158467	ENST00000325006	AHCYL2
ENSG00000180398	ENST00000409105	MCFD2
ENSG00000231738	ENST00000532498	TSPAN19
ENSG00000164961	ENST00000318410	WASHC5
ENSG00000187240	ENST00000398093	DYNC2H1
ENSG00000117114	ENST00000370730	ADGRL2
ENSG00000204583	ENST00000376608	LRCOL1
ENSG00000146733	ENST00000395471	PSPH
ENSG00000171560	ENST00000302053	FGA
ENSG00000236236	ENST00000412618	TNXB
ENSG00000116774	ENST00000320334	OLFML3
ENSG00000143457	ENST00000271732	GOLPH3L
ENSG00000168374	ENST00000303436	ARF4
ENSG00000137054	ENST00000377798	POLR1E
ENSG00000143452	ENST00000361824	HORMAD1
ENSG00000133640	ENST00000393217	LRRIQ1
ENSG00000156831	ENST00000287437	NSMCE2
ENSG00000185621	ENST00000420910	LMLN
ENSG00000184708	ENST00000397525	EIF4ENIF1
ENSG00000134216	ENST00000369740	CHIA
ENSG00000156269	ENST00000286794	NAA11
ENSG00000158526	ENST00000375151	TSR2
ENSG00000198457	ENST00000448314	CYP21A2
ENSG00000173653	ENST00000309657	RCE1
ENSG00000102302	ENST00000375135	FGD1
ENSG00000235022	ENST00000456156	RNF39
ENSG00000184990	ENST00000329967	SIVA1
ENSG00000149346	ENST00000334534	SLX4IP
ENSG00000227720	ENST00000452679	PPP1R11
ENSG00000182218	ENST00000330710	HHIPL1
ENSG00000187048	ENST00000310638	CYP4A11
ENSG00000198650	ENST00000355962	TAT
ENSG00000147676	ENST00000614891	MAL2
ENSG00000135413	ENST00000257867	LACRT
ENSG00000137948	ENST00000399546	BRDT
ENSG00000177051	ENST00000317683	FBXO46
ENSG00000108094	ENST00000421317	CUL2
ENSG00000156239	ENST00000303775	N6AMT1
ENSG00000185347	ENST00000392522	TEDC1
ENSG00000106025	ENST00000222747	TSPAN12
ENSG00000114480	ENST00000429644	GBE1
ENSG00000145734	ENST00000358731	BDP1
ENSG00000138686	ENST00000264499	BBS7
ENSG00000061273	ENST00000080059	HDAC7
ENSG00000101384	ENST00000254958	JAG1
ENSG00000256269	ENST00000278715	HMBS
ENSG00000163131	ENST00000368985	CTSS
ENSG00000185721	ENST00000331457	DRG1
ENSG00000130766	ENST00000253063	SESN2
ENSG00000177990	ENST00000324472	DPY19L2
ENSG00000161634	ENST00000456047	DCD
ENSG00000144119	ENST00000272520	C1QL2
ENSG00000134207	ENST00000609117	SYT6
ENSG00000170271	ENST00000326080	FAXDC2
ENSG00000173947	ENST00000369738	PIFO
ENSG00000130772	ENST00000373842	MED18
ENSG00000011332	ENST00000355526	DPF1
ENSG00000187715	ENST00000405109	KBTBD12
ENSG00000198089	ENST00000400288	SFI1
ENSG00000196876	ENST00000354534	SCN8A
ENSG00000143387	ENST00000271651	CTSK
ENSG00000180318	ENST00000316824	ALX1
ENSG00000118600	ENST00000261234	RXYLT1
ENSG00000165091	ENST00000297784	TMC1
ENSG00000237452	ENST00000457052	BHMG1
ENSG00000171557	ENST00000336098	FGG
ENSG00000142208	ENST00000554581	AKT1
ENSG00000161021	ENST00000292599	MAML1
ENSG00000155508	ENST00000517876	CNOT8
ENSG00000163909	ENST00000372852	HEYL
ENSG00000213316	ENST00000292596	LTC4S
ENSG00000006607	ENST00000264042	FARP2
ENSG00000274386	ENST00000536543	TMEM269
ENSG00000177868	ENST00000372521	SVBP
ENSG00000157219	ENST00000287907	HTR5A
ENSG00000164008	ENST00000372525	C1orf50
ENSG00000143437	ENST00000358595	ARNT
ENSG00000164010	ENST00000372517	ERMAP
ENSG00000187848	ENST00000343948	P2RX2
ENSG00000116981	ENST00000235628	NT5C1A
ENSG00000129152	ENST00000250003	MYOD1
ENSG00000205352	ENST00000429243	PRR13
ENSG00000116983	ENST00000372844	HPCAL4
ENSG00000107984	ENST00000373970	DKK1
ENSG00000176029	ENST00000326053	C11orf16
ENSG00000140832	ENST00000299952	MARVELD3
ENSG00000198774	ENST00000361228	RASSF9
ENSG00000133636	ENST00000256010	NTS
ENSG00000040199	ENST00000568954	PHLPP2
ENSG00000186480	ENST00000340368	INSIG1
ENSG00000166452	ENST00000309377	AKIP1
ENSG00000186377	ENST00000371901	CYP4X1
ENSG00000058262	ENST00000243253	SEC61A1
ENSG00000198183	ENST00000354297	BPIFA1
ENSG00000139625	ENST00000547035	MAP3K12
ENSG00000213145	ENST00000330233	CRIP1
ENSG00000164778	ENST00000297375	EN2
ENSG00000131018	ENST00000367255	SYNE1
ENSG00000186160	ENST00000334194	CYP4Z1
ENSG00000129167	ENST00000250018	TPH1
ENSG00000115107	ENST00000393110	STEAP3
ENSG00000162365	ENST00000371891	CYP4A22
ENSG00000132394	ENST00000254730	EEFSEC
ENSG00000146910	ENST00000321736	CNPY1
ENSG00000175792	ENST00000322623	RUVBL1
ENSG00000138750	ENST00000264883	NUP54
ENSG00000172551	ENST00000308796	MUCL1
ENSG00000197111	ENST00000359462	PCBP2
ENSG00000129158	ENST00000265965	SERGEF
ENSG00000206509	ENST00000383627	HLA-F
ENSG00000155034	ENST00000382368	FBXL18
ENSG00000136999	ENST00000259526	NOV
ENSG00000184863	ENST00000401878	RBM33
ENSG00000185950	ENST00000375856	IRS2
ENSG00000059377	ENST00000416849	TBXAS1
ENSG00000186132	ENST00000409466	C2orf76
ENSG00000186090	ENST00000382489	HTR3D
ENSG00000140543	ENST00000564406	DET1
ENSG00000111145	ENST00000228741	ELK3
ENSG00000259494	ENST00000312475	MRPL46
ENSG00000142552	ENST00000270645	RCN3
ENSG00000198176	ENST00000375370	TFDP1
ENSG00000182050	ENST00000611864	MGAT4C
ENSG00000181991	ENST00000325844	MRPS11
ENSG00000211584	ENST00000442218	SLC48A1
ENSG00000111581	ENST00000229179	NUP107
ENSG00000166426	ENST00000299529	CRABP1
ENSG00000079337	ENST00000449771	RAPGEF3
ENSG00000206190	ENST00000356865	ATP10A
ENSG00000148290	ENST00000371974	SURF1
ENSG00000123066	ENST00000281928	MED13L
ENSG00000116985	ENST00000372827	BMP8B
ENSG00000188779	ENST00000341418	SKOR1
ENSG00000177045	ENST00000317578	SIX5
ENSG00000116171	ENST00000371514	SCP2
ENSG00000121207	ENST00000336356	LRAT
ENSG00000181885	ENST00000360325	CLDN7
ENSG00000142166	ENST00000270139	IFNAR1
ENSG00000036530	ENST00000261835	CYP46A1
ENSG00000084072	ENST00000372830	PPIE
ENSG00000148291	ENST00000371964	SURF2
ENSG00000185800	ENST00000270223	DMWD
ENSG00000204138	ENST00000373836	PHACTR4
ENSG00000165959	ENST00000298912	CLMN
ENSG00000151962	ENST00000281722	RBM46
ENSG00000178084	ENST00000318351	HTR3C
ENSG00000254999	ENST00000530758	BRK1
ENSG00000104936	ENST00000343373	DMPK
ENSG00000170291	ENST00000396628	ELP5
ENSG00000196475	ENST00000358842	GK2
ENSG00000185250	ENST00000440797	PPIL6
ENSG00000134086	ENST00000256474	VHL
ENSG00000129159	ENST00000265969	KCNC1
ENSG00000215906	ENST00000426928	LACTBL1
ENSG00000186038	ENST00000440596	HTR3E
ENSG00000206404	ENST00000383425	LY6G5C
ENSG00000227868	ENST00000566855	TEX46
ENSG00000148848	ENST00000368679	ADAM12
ENSG00000105991	ENST00000343060	HOXA1
ENSG00000123268	ENST00000262053	ATF1
ENSG00000174839	ENST00000311128	DENND6A
ENSG00000114113	ENST00000232217	RBP2
ENSG00000138741	ENST00000379645	TRPC3
ENSG00000198754	ENST00000327582	OXCT2
ENSG00000117906	ENST00000320963	RCN2
ENSG00000226103	ENST00000413113	C6orf47
ENSG00000114115	ENST00000232219	RBP1
ENSG00000129007	ENST00000467889	CALML4
ENSG00000064393	ENST00000406875	HIPK2
ENSG00000228186	ENST00000422140	PRR3
ENSG00000244165	ENST00000321826	P2RY11
ENSG00000163376	ENST00000417314	KBTBD8
ENSG00000130810	ENST00000253107	PPAN
ENSG00000071243	ENST00000315870	ING3
ENSG00000172031	ENST00000370383	EPHX4
ENSG00000163864	ENST00000296202	NMNAT3
ENSG00000197323	ENST00000358465	TRIM33
ENSG00000135587	ENST00000258052	SMPD2
ENSG00000033800	ENST00000545237	PIAS1
ENSG00000235986	ENST00000441604	GNL1
ENSG00000180198	ENST00000373831	RCC1
ENSG00000230667	ENST00000596516	SETSIP
ENSG00000196935	ENST00000355086	SRGAP1
ENSG00000130811	ENST00000253108	EIF3G
ENSG00000175826	ENST00000573600	CTDNEP1
ENSG00000258102	ENST00000556529	MAP1LC3B2
ENSG00000168386	ENST00000354552	FILIP1L
ENSG00000198862	ENST00000614971	LTN1
ENSG00000056736	ENST00000288167	IL17RB
ENSG00000189195	ENST00000636278	BTBD8
ENSG00000103942	ENST00000304231	HOMER2
ENSG00000146731	ENST00000275603	CCT6A
ENSG00000140948	ENST00000268616	ZCCHC14
ENSG00000184220	ENST00000421999	CMSS1
ENSG00000128973	ENST00000249806	CLN6
ENSG00000111405	ENST00000422538	ENDOU
ENSG00000111412	ENST00000261318	C12orf49
ENSG00000186452	ENST00000398458	TMPRSS12
ENSG00000243207	ENST00000393796	PPAN-P2RY11
ENSG00000169612	ENST00000304191	FAM103A1
ENSG00000283324	ENST00000636087	CTXND2
ENSG00000136381	ENST00000258886	IREB2
ENSG00000064726	ENST00000261721	BTBD1
ENSG00000100336	ENST00000352371	APOL4
ENSG00000121769	ENST00000373713	FABP3
ENSG00000170296	ENST00000302386	GABARAP
ENSG00000100395	ENST00000216237	L3MBTL2
ENSG00000165471	ENST00000373968	MBL2
ENSG00000228605	ENST00000426326	GPANK1
ENSG00000164114	ENST00000311277	MAP9
ENSG00000130363	ENST00000252655	RSPH3
ENSG00000130119	ENST00000336470	GNL3L
ENSG00000169609	ENST00000451195	C15orf40
ENSG00000116752	ENST00000369541	BCAS2
ENSG00000239974	ENST00000413733	EGFL8
ENSG00000164691	ENST00000367066	TAGAP
ENSG00000165661	ENST00000358701	QSOX2
ENSG00000143379	ENST00000271640	SETDB1
ENSG00000177096	ENST00000321753	FAM109B
ENSG00000145632	ENST00000274289	PLK2
ENSG00000275851	ENST00000618876	MLLT6
ENSG00000136960	ENST00000259486	ENPP2
ENSG00000111245	ENST00000228841	MYL2
ENSG00000175984	ENST00000393274	DENND2C
ENSG00000223858	ENST00000552809	ZFP57
ENSG00000224774	ENST00000432290	CSNK2B
ENSG00000135426	ENST00000449076	TESPA1
ENSG00000125999	ENST00000253354	BPIFB1
ENSG00000260220	ENST00000569961	CCDC187
ENSG00000228892	ENST00000433376	AGPAT1
ENSG00000075624	ENST00000331789	ACTB
ENSG00000138640	ENST00000264344	FAM13A
ENSG00000178585	ENST00000377263	CTNNBIP1
ENSG00000100399	ENST00000216241	CHADL
ENSG00000185149	ENST00000329476	NPY2R
ENSG00000198752	ENST00000361246	CDC42BPB
ENSG00000165092	ENST00000297785	ALDH1A1
ENSG00000169641	ENST00000302291	LUZP1
ENSG00000162366	ENST00000294338	PDZK1IP1
ENSG00000134070	ENST00000256458	IRAK2
ENSG00000186009	ENST00000335288	ATP4B
ENSG00000152642	ENST00000282541	GPD1L
ENSG00000185432	ENST00000548553	METTL7A
ENSG00000059758	ENST00000261211	CDK17
ENSG00000004487	ENST00000400181	KDM1A
ENSG00000140463	ENST00000268057	BBS4
ENSG00000105996	ENST00000222718	HOXA2
ENSG00000105974	ENST00000341049	CAV1
ENSG00000197584	ENST00000432997	KCNMB2
ENSG00000233573	ENST00000433864	TRIM31
ENSG00000169994	ENST00000428314	MYO7B
ENSG00000177084	ENST00000320574	POLE
ENSG00000106006	ENST00000222728	HOXA6
ENSG00000166126	ENST00000299155	AMN
ENSG00000187682	ENST00000338270	ERAS
ENSG00000105997	ENST00000612286	HOXA3
ENSG00000139132	ENST00000525053	FGD4
ENSG00000102109	ENST00000218230	PCSK1N
ENSG00000113812	ENST00000335754	ACTR8
ENSG00000143418	ENST00000271688	CERS2
ENSG00000214978	ENST00000399363	GSG1L2
ENSG00000184544	ENST00000330255	DHRS7C
ENSG00000197576	ENST00000360046	HOXA4
ENSG00000183172	ENST00000331479	SMDT1
ENSG00000106004	ENST00000222726	HOXA5
ENSG00000172340	ENST00000493112	SUCLG2
ENSG00000261308	ENST00000618634	FIGNL2
ENSG00000239497	ENST00000490011	LY6G5B
